snapshot_date,dimension_type,dimension_id,dimension_label,count_recent,count_prior,share_recent,share_prior,yoy_share_change,rank_recent,taxonomy_version,data_version
2020-12-01,field_total,ALL,All linguistics (union),91363,88732,1.0,1.0,0.0,0,3fb46f2158,default
2020-12-01,topic,T10021,EFL/ESL Teaching and Learning,7398,7634,0.0809737,0.08603435,-0.00506065,1,3fb46f2158,default
2020-12-01,topic,T10759,Translation Studies and Practices,7351,7071,0.08045927,0.0796894,0.00076987,2,3fb46f2158,default
2020-12-01,topic,T12768,Linguistics and language evolution,5819,5055,0.06369099,0.0569693,0.00672169,3,3fb46f2158,default
2020-12-01,topic,T12373,Linguistic research and analysis,5184,5222,0.05674069,0.05885137,-0.00211068,4,3fb46f2158,default
2020-12-01,topic,T13122,Linguistics and Cultural Studies,5044,4534,0.05520834,0.05109769,0.00411066,5,3fb46f2158,default
2020-12-01,topic,T10265,Multilingual Education and Policy,4856,4465,0.05315062,0.05032006,0.00283055,6,3fb46f2158,default
2020-12-01,topic,T12341,Spanish Linguistics and Language Studies,4663,4886,0.05103817,0.05506469,-0.00402652,7,3fb46f2158,default
2020-12-01,topic,T14006,"Linguistics, Language Diversity, and Identity",4384,4320,0.04798441,0.04868593,-0.00070152,8,3fb46f2158,default
2020-12-01,topic,T13538,Linguistics and Language Analysis,4046,4181,0.04428489,0.04711942,-0.00283453,9,3fb46f2158,default
2020-12-01,topic,T14021,Medieval European Literature and History,3978,3928,0.0435406,0.04426813,-0.00072753,10,3fb46f2158,default
2020-12-01,topic,T12353,Lexicography and Language Studies,3858,3690,0.04222716,0.0415859,0.00064126,11,3fb46f2158,default
2020-12-01,topic,T12658,Language and Culture,3800,3627,0.04159233,0.0408759,0.00071643,12,3fb46f2158,default
2020-12-01,topic,T10034,"Syntax, Semantics, Linguistic Variation",3779,3502,0.04136248,0.03946716,0.00189532,13,3fb46f2158,default
2020-12-01,topic,T14081,Linguistic Education and Pedagogy,3585,3808,0.03923908,0.04291575,-0.00367667,14,3fb46f2158,default
2020-12-01,topic,T13152,French Language Learning Methods,3233,3615,0.03538632,0.04074066,-0.00535434,15,3fb46f2158,default
2020-12-01,topic,T10383,"Language, Discourse, Communication Strategies",3135,2909,0.03431367,0.03278411,0.00152956,16,3fb46f2158,default
2020-12-01,topic,T13912,"Language, Linguistics, Cultural Analysis",3074,2856,0.03364601,0.03218681,0.0014592,17,3fb46f2158,default
2020-12-01,topic,T11640,Linguistic Variation and Morphology,2932,2617,0.03209177,0.02949331,0.00259846,18,3fb46f2158,default
2020-12-01,topic,T13156,Historical Linguistics and Language Studies,2877,2674,0.03148977,0.03013569,0.00135408,19,3fb46f2158,default
2020-12-01,topic,T12881,linguistics and terminology studies,2009,1836,0.02198921,0.02069152,0.00129769,20,3fb46f2158,default
2020-12-01,topic,T13260,Linguistics and Language Studies,1704,1732,0.01865088,0.01951945,-0.00086858,21,3fb46f2158,default
2020-12-01,topic,T13310,Subtitles and Audiovisual Media,1586,1408,0.01735932,0.01586801,0.00149132,22,3fb46f2158,default
2020-12-01,topic,T13814,Cultural and political discourse analysis,1543,1675,0.01688867,0.01887707,-0.00198839,23,3fb46f2158,default
2020-12-01,topic,T13727,Linguistic and Sociocultural Studies,1136,1227,0.01243392,0.01382816,-0.00139424,24,3fb46f2158,default
2020-12-01,topic,T14170,Classical Studies and Philology,326,222,0.00356818,0.00250192,0.00106627,25,3fb46f2158,default
2020-12-01,topic,T13606,Umberto Eco and Semiotics,63,38,0.00068956,0.00042826,0.0002613,26,3fb46f2158,default
