snapshot_date,dimension_type,dimension_id,dimension_label,count_recent,count_prior,share_recent,share_prior,yoy_share_change,rank_recent,taxonomy_version,data_version
2023-12-31,field_total,ALL,All linguistics (union),76479,68537,1.0,1.0,0.0,0,spine-year,
2023-12-31,construct,ox_language_studies,Language Studies,11941,10581,0.156134364,0.154383764,0.0017506,1,spine-year,openalex
2023-12-31,construct,ox_meaning,Meaning,4551,4193,0.059506531,0.061178633,-0.001672102,2,spine-year,openalex
2023-12-31,construct,ox_language_learning,Language Learning,4463,4087,0.058355889,0.059632024,-0.001276135,3,spine-year,openalex
2023-12-31,construct,ox_learners,Learners,3918,3583,0.051229749,0.052278331,-0.001048582,4,spine-year,openalex
2023-12-31,construct,ox_language_teaching,Language Teaching,3899,3274,0.050981315,0.047769818,0.003211497,5,spine-year,openalex
2023-12-31,construct,ox_corpus,Corpus,3507,3324,0.045855725,0.048499351,-0.002643626,6,spine-year,openalex
2023-12-31,construct,ox_language_education,Language Education,2867,2537,0.037487415,0.037016502,0.000470913,7,spine-year,openalex
2023-12-31,construct,ox_language_change,Language Change,2524,2233,0.033002524,0.032580942,0.000421582,8,spine-year,openalex
2023-12-31,construct,ox_grammaticalization,Grammaticalization,2297,2101,0.030034389,0.030654975,-0.000620586,9,spine-year,openalex
2023-12-31,construct,ox_grammar,Grammar,2220,2112,0.029027576,0.030815472,-0.001787896,10,spine-year,openalex
2023-12-31,construct,ox_dialects,Dialects,2080,1890,0.027197008,0.027576346,-0.000379337,11,spine-year,openalex
2023-12-31,construct,ox_multilingualism,Multilingualism,1982,1782,0.025915611,0.026000554,-8.4944e-05,12,spine-year,openalex
2023-12-31,construct,ox_pragmatics,Pragmatics,1970,1812,0.025758705,0.026438274,-0.000679569,13,spine-year,openalex
2023-12-31,construct,ox_discourse_study,Discourse Study,1898,1746,0.02481727,0.025475291,-0.000658021,14,spine-year,openalex
2023-12-31,construct,ox_pedagogy,Pedagogy,1751,1658,0.022895174,0.024191313,-0.001296139,15,spine-year,openalex
2023-12-31,construct,ox_dictionaries,Dictionaries,1721,1595,0.022502909,0.023272101,-0.000769192,16,spine-year,openalex
2023-12-31,construct,ox_perception,Perception,1649,1441,0.021561474,0.02102514,0.000536335,17,spine-year,openalex
2023-12-31,construct,ox_discourse_analysis,Discourse Analysis,1576,1396,0.020606964,0.02036856,0.000238404,18,spine-year,openalex
2023-12-31,construct,ox_morphology,Morphology,1564,1419,0.020450058,0.020704145,-0.000254087,19,spine-year,openalex
2023-12-31,construct,ox_bilingual,Bilingual,1505,1381,0.019678605,0.0201497,-0.000471096,20,spine-year,openalex
2023-12-31,construct,ox_bilingualism,Bilingualism,1505,1381,0.019678605,0.0201497,-0.000471096,21,spine-year,openalex
2023-12-31,construct,ox_sociolinguistics,Sociolinguistics,1477,1350,0.019312491,0.01969739,-0.000384899,22,spine-year,openalex
2023-12-31,construct,ox_cultural_translation,Cultural Translation,1441,1074,0.018841774,0.015670368,0.003171406,23,spine-year,openalex
2023-12-31,construct,ox_usage,Usage,1411,1174,0.018449509,0.017129434,0.001320075,24,spine-year,openalex
2023-12-31,construct,ox_teaching_methods,Teaching Methods,1374,1016,0.017965716,0.01482411,0.003141606,25,spine-year,openalex
2023-12-31,construct,focus_on_form,Focus on form,1284,1085,0.016788922,0.015830865,0.000958057,26,spine-year,curated
2023-12-31,construct,ox_terminology,Terminology,1258,1078,0.01644896,0.01572873,0.000720229,27,spine-year,openalex
2023-12-31,construct,ox_language_acquisition,Language Acquisition,1228,1110,0.016056695,0.016195632,-0.000138936,28,spine-year,openalex
2023-12-31,construct,language_policy,Language policy,1219,1142,0.015939016,0.016662533,-0.000723517,29,spine-year,curated
2023-12-31,construct,ox_language_attitudes,Language Attitudes,1195,1077,0.015625204,0.01571414,-8.8936e-05,30,spine-year,openalex
2023-12-31,construct,ox_second_language_learning,Second Language Learning,1181,1100,0.015442148,0.016049725,-0.000607577,31,spine-year,openalex
2023-12-31,construct,ox_ideology,Ideology,1177,1193,0.015389846,0.017406656,-0.002016811,32,spine-year,openalex
2023-12-31,construct,ox_language_variation,Language Variation,1139,1002,0.014892977,0.01461984,0.000273137,33,spine-year,openalex
2023-12-31,construct,ox_structuralism,Structuralism,1123,1079,0.014683769,0.015743321,-0.001059552,34,spine-year,openalex
2023-12-31,construct,ox_semantics,Semantics,1121,1096,0.014657618,0.015991362,-0.001333744,35,spine-year,openalex
2023-12-31,construct,ox_power,Power,1072,960,0.01401692,0.014007033,9.887e-06,36,spine-year,openalex
2023-12-31,construct,ox_syntax,Syntax,1069,1063,0.013977693,0.015509871,-0.001532177,37,spine-year,openalex
2023-12-31,construct,ox_literature_analysis,Literature Analysis,1064,875,0.013912316,0.012766827,0.001145489,38,spine-year,openalex
2023-12-31,construct,ox_language_contact,Language Contact,998,872,0.013049334,0.012723055,0.000326279,39,spine-year,openalex
2023-12-31,construct,world_englishes,World Englishes,974,861,0.012735522,0.012562557,0.000172965,40,spine-year,curated
2023-12-31,construct,ox_literary_translation,Literary Translation,913,808,0.011937918,0.011789253,0.000148665,41,spine-year,openalex
2023-12-31,construct,ox_linguistic_identity,Linguistic Identity,911,781,0.011911767,0.011395305,0.000516462,42,spine-year,openalex
2023-12-31,construct,ox_learning_strategies,Learning Strategies,902,660,0.011794087,0.009629835,0.002164252,43,spine-year,openalex
2023-12-31,construct,ox_social_communication,Social Communication,862,757,0.011271068,0.011045129,0.000225939,44,spine-year,openalex
2023-12-31,construct,ox_language_ideologies,Language Ideologies,854,846,0.011166464,0.012343698,-0.001177234,45,spine-year,openalex
2023-12-31,construct,language_ideology,Language ideology,854,846,0.011166464,0.012343698,-0.001177234,46,spine-year,curated
2023-12-31,construct,ox_language_diversity,Language Diversity,831,728,0.010865728,0.010622,0.000243728,47,spine-year,openalex
2023-12-31,construct,ox_social_interaction,Social Interaction,787,772,0.010290407,0.011263989,-0.000973582,48,spine-year,openalex
2023-12-31,construct,ox_conversation_analysis,Conversation Analysis,772,769,0.010094274,0.011220217,-0.001125943,49,spine-year,openalex
2023-12-31,construct,ox_language_learning_strategies,Language Learning Strategies,752,545,0.009832765,0.007951909,0.001880855,50,spine-year,openalex
2023-12-31,construct,ox_indexicality,Indexicality,749,642,0.009793538,0.009367203,0.000426335,51,spine-year,openalex
2023-12-31,construct,multimodality,Multimodality,745,609,0.009741236,0.008885711,0.000855525,52,spine-year,curated
2023-12-31,construct,ox_social_meaning,Social Meaning,698,625,0.009126688,0.009119162,7.526e-06,53,spine-year,openalex
2023-12-31,construct,ox_semiotics,Semiotics,677,625,0.008852103,0.009119162,-0.000267059,54,spine-year,openalex
2023-12-31,construct,ox_foreign_language_education,Foreign Language Education,668,557,0.008734424,0.008126997,0.000607427,55,spine-year,openalex
2023-12-31,construct,ox_second_language_acquisition,Second Language Acquisition,634,584,0.008289857,0.008520945,-0.000231088,56,spine-year,openalex
2023-12-31,construct,heritage_language,Heritage language,602,539,0.007871442,0.007864365,7.077e-06,57,spine-year,curated
2023-12-31,construct,ox_lexicography,Lexicography,601,563,0.007858366,0.008214541,-0.000356175,58,spine-year,openalex
2023-12-31,construct,ox_linguistic_diversity,Linguistic Diversity,599,468,0.007832215,0.006828428,0.001003787,59,spine-year,openalex
