snapshot_date,dimension_type,dimension_id,dimension_label,count_recent,count_prior,share_recent,share_prior,yoy_share_change,rank_recent,taxonomy_version,data_version
2017-12-31,field_total,ALL,All linguistics (union),92958,97465,1.0,1.0,0.0,0,spine-year,
2017-12-31,construct,ox_language_studies,Language Studies,9584,8802,0.103100325,0.090309342,0.012790983,1,spine-year,openalex
2017-12-31,construct,ox_language_learning,Language Learning,4518,4318,0.048602595,0.044303083,0.004299512,2,spine-year,openalex
2017-12-31,construct,ox_learners,Learners,4199,4016,0.045170937,0.041204535,0.003966402,3,spine-year,openalex
2017-12-31,construct,ox_meaning,Meaning,3837,3476,0.041276706,0.035664085,0.005612621,4,spine-year,openalex
2017-12-31,construct,ox_language_teaching,Language Teaching,3751,3532,0.040351557,0.03623865,0.004112907,5,spine-year,openalex
2017-12-31,construct,ox_corpus,Corpus,3398,3318,0.036554143,0.03404299,0.002511153,6,spine-year,openalex
2017-12-31,construct,ox_grammar,Grammar,2603,2547,0.028001893,0.026132458,0.001869436,7,spine-year,openalex
2017-12-31,construct,ox_language_education,Language Education,2544,2332,0.027367198,0.023926538,0.00344066,8,spine-year,openalex
2017-12-31,construct,ox_language_change,Language Change,2251,2072,0.024215237,0.021258913,0.002956324,9,spine-year,openalex
2017-12-31,construct,ox_grammaticalization,Grammaticalization,2186,2147,0.023515996,0.02202842,0.001487576,10,spine-year,openalex
2017-12-31,construct,ox_dialects,Dialects,1946,1918,0.020934185,0.019678859,0.001255326,11,spine-year,openalex
2017-12-31,construct,ox_pragmatics,Pragmatics,1924,1779,0.020697519,0.018252706,0.002444813,12,spine-year,openalex
2017-12-31,construct,ox_dictionaries,Dictionaries,1772,1736,0.019062372,0.017811522,0.00125085,13,spine-year,openalex
2017-12-31,construct,ox_perception,Perception,1661,1391,0.017868285,0.01427179,0.003596495,14,spine-year,openalex
2017-12-31,construct,ox_pedagogy,Pedagogy,1618,1327,0.01740571,0.013615144,0.003790566,15,spine-year,openalex
2017-12-31,construct,ox_discourse_study,Discourse Study,1608,1452,0.017298135,0.014897656,0.002400479,16,spine-year,openalex
2017-12-31,construct,ox_bilingual,Bilingual,1546,1709,0.016631167,0.0175345,-0.000903333,17,spine-year,openalex
2017-12-31,construct,ox_bilingualism,Bilingualism,1546,1709,0.016631167,0.0175345,-0.000903333,18,spine-year,openalex
2017-12-31,construct,ox_sociolinguistics,Sociolinguistics,1507,1354,0.016211622,0.013892166,0.002319456,19,spine-year,openalex
2017-12-31,construct,ox_morphology,Morphology,1463,1404,0.01573829,0.014405171,0.001333119,20,spine-year,openalex
2017-12-31,construct,ox_multilingualism,Multilingualism,1462,1340,0.015727533,0.013748525,0.001979008,21,spine-year,openalex
2017-12-31,construct,ox_usage,Usage,1428,1285,0.015361776,0.01318422,0.002177556,22,spine-year,openalex
2017-12-31,construct,ox_discourse_analysis,Discourse Analysis,1382,1298,0.014866929,0.013317601,0.001549328,23,spine-year,openalex
2017-12-31,construct,ox_language_acquisition,Language Acquisition,1297,1275,0.013952538,0.013081619,0.000870919,24,spine-year,openalex
2017-12-31,construct,ox_syntax,Syntax,1270,1277,0.013662084,0.013102139,0.000559945,25,spine-year,openalex
2017-12-31,construct,ox_second_language_learning,Second Language Learning,1268,1183,0.013640569,0.01213769,0.001502878,26,spine-year,openalex
2017-12-31,construct,ox_language_attitudes,Language Attitudes,1232,1074,0.013253297,0.01101934,0.002233957,27,spine-year,openalex
2017-12-31,construct,focus_on_form,Focus on form,1180,1065,0.012693905,0.010926999,0.001766905,28,spine-year,curated
2017-12-31,construct,language_policy,Language policy,1178,1066,0.01267239,0.01093726,0.00173513,29,spine-year,curated
2017-12-31,construct,ox_ideology,Ideology,1121,970,0.01205921,0.009952291,0.002106919,30,spine-year,openalex
2017-12-31,construct,ox_semantics,Semantics,1063,1004,0.011435272,0.010301134,0.001134138,31,spine-year,openalex
2017-12-31,construct,ox_language_variation,Language Variation,1054,906,0.011338454,0.009295645,0.002042809,32,spine-year,openalex
2017-12-31,construct,ox_language_contact,Language Contact,1037,798,0.011155576,0.008187555,0.002968021,33,spine-year,openalex
2017-12-31,construct,ox_structuralism,Structuralism,1035,962,0.011134061,0.00987021,0.001263851,34,spine-year,openalex
2017-12-31,construct,ox_cultural_translation,Cultural Translation,1032,879,0.011101788,0.009018622,0.002083166,35,spine-year,openalex
2017-12-31,construct,ox_power,Power,1030,932,0.011080273,0.009562407,0.001517866,36,spine-year,openalex
2017-12-31,construct,ox_teaching_methods,Teaching Methods,1010,971,0.010865122,0.009962551,0.000902571,37,spine-year,openalex
2017-12-31,construct,ox_terminology,Terminology,981,905,0.010553153,0.009285384,0.001267769,38,spine-year,openalex
2017-12-31,construct,world_englishes,World Englishes,956,860,0.010284214,0.00882368,0.001460534,39,spine-year,curated
2017-12-31,construct,ox_social_interaction,Social Interaction,842,699,0.009057854,0.007171805,0.001886049,40,spine-year,openalex
2017-12-31,construct,ox_learning_strategies,Learning Strategies,828,781,0.008907248,0.008013133,0.000894116,41,spine-year,openalex
2017-12-31,construct,ox_literature_analysis,Literature Analysis,800,694,0.008606037,0.007120505,0.001485532,42,spine-year,openalex
2017-12-31,construct,ox_language_ideologies,Language Ideologies,780,682,0.008390886,0.006997384,0.001393503,43,spine-year,openalex
2017-12-31,construct,language_ideology,Language ideology,780,682,0.008390886,0.006997384,0.001393503,44,spine-year,curated
2017-12-31,construct,ox_conversation_analysis,Conversation Analysis,746,616,0.00802513,0.006320218,0.001704912,45,spine-year,openalex
2017-12-31,construct,ox_linguistic_identity,Linguistic Identity,743,635,0.007992857,0.006515159,0.001477698,46,spine-year,openalex
2017-12-31,construct,ox_social_communication,Social Communication,737,595,0.007928312,0.006104756,0.001823556,47,spine-year,openalex
2017-12-31,construct,ox_indexicality,Indexicality,720,689,0.007745433,0.007069204,0.000676229,48,spine-year,openalex
2017-12-31,construct,ox_language_learning_strategies,Language Learning Strategies,685,625,0.007368919,0.006412558,0.000956361,49,spine-year,openalex
2017-12-31,construct,ox_second_language_acquisition,Second Language Acquisition,666,677,0.007164526,0.006946083,0.000218443,50,spine-year,openalex
2017-12-31,construct,ox_literary_translation,Literary Translation,662,666,0.007121496,0.006833222,0.000288274,51,spine-year,openalex
2017-12-31,construct,ox_language_diversity,Language Diversity,644,549,0.00692786,0.005632791,0.001295069,52,spine-year,openalex
2017-12-31,construct,ox_lexicography,Lexicography,592,498,0.006368467,0.005109526,0.001258941,53,spine-year,openalex
2017-12-31,construct,ox_ethnography,Ethnography,587,548,0.00631468,0.005622531,0.000692149,54,spine-year,openalex
2017-12-31,construct,ox_foreign_language_education,Foreign Language Education,577,519,0.006207104,0.005324988,0.000882116,55,spine-year,openalex
2017-12-31,construct,ox_social_meaning,Social Meaning,550,478,0.005916651,0.004904325,0.001012326,56,spine-year,openalex
2017-12-31,construct,ox_typology,typology,536,490,0.005766045,0.005027446,0.000738599,57,spine-year,openalex
2017-12-31,construct,heritage_language,Heritage language,501,432,0.005389531,0.00443236,0.00095717,58,spine-year,curated
2017-12-31,construct,ox_minority_languages,Minority Languages,498,442,0.005357258,0.004534961,0.000822297,59,spine-year,openalex
2017-12-31,construct,ox_semiotics,Semiotics,480,434,0.005163622,0.004452881,0.000710742,60,spine-year,openalex
2017-12-31,construct,ox_etymology,Etymology,439,398,0.004722563,0.004083517,0.000639046,61,spine-year,openalex
2017-12-31,construct,ox_vocabulary_learning,Vocabulary Learning,435,394,0.004679533,0.004042477,0.000637056,62,spine-year,openalex
2017-12-31,construct,ox_linguistic_diversity,Linguistic Diversity,433,358,0.004658018,0.003673113,0.000984904,63,spine-year,openalex
2017-12-31,construct,ox_linguistic_competence,Linguistic Competence,418,330,0.004496654,0.003385831,0.001110824,64,spine-year,openalex
2017-12-31,construct,codeswitching,Code-switching,416,400,0.004475139,0.004104037,0.000371102,65,spine-year,curated
2017-12-31,construct,ox_accent,Accent,399,405,0.004292261,0.004155338,0.000136923,66,spine-year,openalex
2017-12-31,construct,ox_political_discourse,Political Discourse,388,357,0.004173928,0.003662853,0.000511075,67,spine-year,openalex
2017-12-31,construct,multimodality,Multimodality,382,294,0.004109383,0.003016467,0.001092915,68,spine-year,curated
2017-12-31,construct,ox_text_linguistics,Text Linguistics,374,332,0.004023322,0.003406351,0.000616971,69,spine-year,openalex
2017-12-31,construct,second_language_writing,Second language writing,371,348,0.00399105,0.003570512,0.000420537,70,spine-year,curated
2017-12-31,construct,ox_verb_morphology,Verb Morphology,365,358,0.003926504,0.003673113,0.000253391,71,spine-year,openalex
2017-12-31,construct,ox_language_evolution,Language Evolution,363,299,0.003904989,0.003067768,0.000837221,72,spine-year,openalex
2017-12-31,construct,usage_based,Usage-based approaches,362,334,0.003894232,0.003426871,0.000467361,73,spine-year,curated
2017-12-31,construct,ox_historical_linguistics,Historical Linguistics,352,280,0.003786656,0.002872826,0.00091383,74,spine-year,openalex
2017-12-31,construct,ox_narrative_analysis,Narrative Analysis,341,288,0.003668323,0.002954907,0.000713416,75,spine-year,openalex
2017-12-31,construct,ox_bilingual_education,Bilingual Education,335,378,0.003603778,0.003878315,-0.000274537,76,spine-year,openalex
2017-12-31,construct,ox_semantic_changes,Semantic Changes,332,322,0.003571505,0.00330375,0.000267755,77,spine-year,openalex
2017-12-31,construct,ox_identity_construction,Identity Construction,331,270,0.003560748,0.002770225,0.000790523,78,spine-year,openalex
2017-12-31,construct,ox_language_typology,Language Typology,331,270,0.003560748,0.002770225,0.000790523,79,spine-year,openalex
2017-12-31,construct,ox_interdisciplinary,Interdisciplinary,329,253,0.003539233,0.002595804,0.000943429,80,spine-year,openalex
2017-12-31,construct,ox_humanities,Humanities,324,320,0.003485445,0.00328323,0.000202215,81,spine-year,openalex
2017-12-31,construct,mixed_methods,Mixed methods,322,267,0.00346393,0.002739445,0.000724485,82,spine-year,curated
2017-12-31,construct,ox_language_anxiety,Language Anxiety,317,304,0.003410142,0.003119068,0.000291074,83,spine-year,openalex
2017-12-31,construct,corpus_linguistics,Corpus linguistics,312,280,0.003356354,0.002872826,0.000483528,84,spine-year,curated
2017-12-31,construct,ox_intercultural_communication,Intercultural Communication,300,285,0.003227264,0.002924127,0.000303137,85,spine-year,openalex
2017-12-31,construct,ox_literary_theory,Literary Theory,297,283,0.003194991,0.002903606,0.000291385,86,spine-year,openalex
2017-12-31,construct,ox_indo_european,Indo-European,294,249,0.003162719,0.002554763,0.000607955,87,spine-year,openalex
2017-12-31,construct,ox_subtitling,Subtitling,293,318,0.003151961,0.00326271,-0.000110749,88,spine-year,openalex
2017-12-31,construct,ox_cognitive_linguistics,Cognitive Linguistics,291,226,0.003130446,0.002318781,0.000811665,89,spine-year,openalex
2017-12-31,construct,ox_textual_analysis,Textual Analysis,291,268,0.003130446,0.002749705,0.000380741,90,spine-year,openalex
2017-12-31,construct,ox_lingua_franca_english,Lingua Franca English,288,243,0.003098173,0.002493203,0.000604971,91,spine-year,openalex
2017-12-31,construct,ox_sociolinguistic_variation,Sociolinguistic Variation,283,258,0.003044386,0.002647104,0.000397282,92,spine-year,openalex
2017-12-31,construct,ox_construction_grammar,Construction Grammar,282,331,0.003033628,0.003396091,-0.000362463,93,spine-year,openalex
2017-12-31,construct,positioning_theory,Positioning theory,271,242,0.002915295,0.002482943,0.000432352,94,spine-year,curated
2017-12-31,construct,ox_media_discourse,Media Discourse,270,220,0.002904538,0.002257221,0.000647317,95,spine-year,openalex
2017-12-31,construct,ox_phraseology,Phraseology,261,274,0.00280772,0.002811266,-3.546e-06,96,spine-year,openalex
2017-12-31,construct,teacher_identity,Language teacher identity,260,225,0.002796962,0.002308521,0.000488441,97,spine-year,curated
2017-12-31,construct,critical_discourse_analysis,Critical discourse analysis,256,228,0.002753932,0.002339301,0.000414631,98,spine-year,curated
2017-12-31,construct,learner_identity,Learner identity,253,219,0.002721659,0.00224696,0.000474699,99,spine-year,curated
2017-12-31,construct,ox_german_as_a_foreign_language,German as a Foreign Language,246,252,0.002646356,0.002585544,6.0813e-05,100,spine-year,openalex
2017-12-31,construct,ox_standardization_of_language,Standardization of Language,238,191,0.002560296,0.001959678,0.000600618,101,spine-year,openalex
2017-12-31,construct,study_abroad,Study abroad,238,206,0.002560296,0.002113579,0.000446717,102,spine-year,curated
2017-12-31,construct,linguistic_landscape,Linguistic landscape,233,251,0.002506508,0.002575283,-6.8775e-05,103,spine-year,curated
2017-12-31,construct,ox_lexical_influence,Lexical Influence,227,234,0.002441963,0.002400862,4.1101e-05,104,spine-year,openalex
2017-12-31,construct,ox_philology,Philology,227,190,0.002441963,0.001949418,0.000492545,105,spine-year,openalex
2017-12-31,construct,ox_politeness_strategies,Politeness Strategies,225,173,0.002420448,0.001774996,0.000645452,106,spine-year,openalex
2017-12-31,construct,ox_interactional_linguistics,Interactional Linguistics,215,182,0.002312872,0.001867337,0.000445535,107,spine-year,openalex
2017-12-31,construct,task_based,Task-based language teaching,213,212,0.002291357,0.00217514,0.000116218,108,spine-year,curated
2017-12-31,construct,ox_turkic,Turkic,208,216,0.00223757,0.00221618,2.1389e-05,109,spine-year,openalex
2017-12-31,construct,ox_saussure,Saussure,206,233,0.002216055,0.002390602,-0.000174547,110,spine-year,openalex
2017-12-31,construct,ox_specialized_language,Specialized Language,206,173,0.002216055,0.001774996,0.000441058,111,spine-year,openalex
2017-12-31,construct,ox_youth_language,Youth Language,206,180,0.002216055,0.001846817,0.000369238,112,spine-year,openalex
2017-12-31,construct,ox_lexical_semantics,Lexical Semantics,198,200,0.002129994,0.002052019,7.7976e-05,113,spine-year,openalex
2017-12-31,construct,ox_cognitive_grammar,Cognitive Grammar,192,138,0.002065449,0.001415893,0.000649556,114,spine-year,openalex
2017-12-31,construct,ox_dialectology,Dialectology,189,146,0.002033176,0.001497974,0.000535203,115,spine-year,openalex
2017-12-31,construct,pragmatic_competence,Pragmatic competence,187,169,0.002011661,0.001733956,0.000277705,116,spine-year,curated
2017-12-31,construct,language_revitalization,Language revitalization,184,142,0.001979389,0.001456933,0.000522455,117,spine-year,curated
2017-12-31,construct,ox_turn_taking,Turn-Taking,183,172,0.001968631,0.001764736,0.000203895,118,spine-year,openalex
2017-12-31,construct,corrective_feedback,Corrective feedback,178,177,0.001914843,0.001816037,9.8807e-05,119,spine-year,curated
2017-12-31,construct,intercultural_competence,Intercultural competence,178,189,0.001914843,0.001939158,-2.4314e-05,120,spine-year,curated
2017-12-31,construct,ox_media_influence,Media Influence,176,147,0.001893328,0.001508234,0.000385094,121,spine-year,openalex
2017-12-31,construct,ox_l2_motivation,L2 Motivation,172,176,0.001850298,0.001805776,4.4522e-05,122,spine-year,openalex
2017-12-31,construct,ox_ontologies,Ontologies,169,132,0.001818025,0.001354332,0.000463693,123,spine-year,openalex
2017-12-31,construct,ox_occitan,Occitan,166,137,0.001785753,0.001405633,0.00038012,124,spine-year,openalex
2017-12-31,construct,ox_speech_perception,Speech Perception,166,153,0.001785753,0.001569794,0.000215958,125,spine-year,openalex
2017-12-31,construct,ox_neologisms,Neologisms,165,168,0.001774995,0.001723696,5.1299e-05,126,spine-year,openalex
2017-12-31,construct,ox_literary_tradition,Literary Tradition,153,165,0.001645905,0.001692915,-4.7011e-05,127,spine-year,openalex
2017-12-31,construct,ox_semantic_relations,Semantic Relations,153,183,0.001645905,0.001877597,-0.000231692,128,spine-year,openalex
2017-12-31,construct,ox_politeness_theory,Politeness Theory,149,121,0.001602874,0.001241471,0.000361403,129,spine-year,openalex
2017-12-31,construct,translanguaging,Translanguaging,147,109,0.001581359,0.00111835,0.000463009,130,spine-year,curated
2017-12-31,construct,ox_language_rights,Language Rights,145,152,0.001559844,0.001559534,3.1e-07,131,spine-year,openalex
2017-12-31,construct,ox_linguistic_borrowing,Linguistic Borrowing,139,125,0.001495299,0.001282512,0.000212787,132,spine-year,openalex
2017-12-31,construct,vocabulary_acquisition,Vocabulary acquisition,137,138,0.001473784,0.001415893,5.7891e-05,133,spine-year,curated
2017-12-31,construct,ox_audiovisual_translation,Audiovisual Translation,136,171,0.001463026,0.001754476,-0.00029145,134,spine-year,openalex
2017-12-31,construct,intelligibility,Intelligibility,135,138,0.001452269,0.001415893,3.6376e-05,135,spine-year,curated
2017-12-31,construct,ox_cross_cultural_communication,Cross-Cultural Communication,131,128,0.001409239,0.001313292,9.5947e-05,136,spine-year,openalex
2017-12-31,construct,sociocultural_theory,Sociocultural theory,131,106,0.001409239,0.00108757,0.000321669,137,spine-year,curated
2017-12-31,construct,ox_ethnolinguistics,Ethnolinguistics,128,98,0.001376966,0.001005489,0.000371477,138,spine-year,openalex
2017-12-31,construct,ox_captioning,Captioning,123,106,0.001323178,0.00108757,0.000235608,139,spine-year,openalex
2017-12-31,construct,emi,English-medium instruction,122,101,0.001312421,0.001036269,0.000276151,140,spine-year,curated
2017-12-31,construct,ox_nationalism,Nationalism,122,87,0.001312421,0.000892628,0.000419793,141,spine-year,openalex
2017-12-31,construct,ox_historical_phonology,Historical Phonology,117,123,0.001258633,0.001261991,-3.359e-06,142,spine-year,openalex
2017-12-31,construct,ox_task_based_instruction,Task-based Instruction,117,101,0.001258633,0.001036269,0.000222364,143,spine-year,openalex
2017-12-31,construct,ox_universal_grammar,Universal Grammar,117,112,0.001258633,0.00114913,0.000109502,144,spine-year,openalex
2017-12-31,construct,ox_anglicisms,Anglicisms,116,85,0.001247875,0.000872108,0.000375767,145,spine-year,openalex
