snapshot_date,dimension_type,dimension_id,dimension_label,count_recent,count_prior,share_recent,share_prior,yoy_share_change,rank_recent,taxonomy_version,data_version
2021-12-31,field_total,ALL,All linguistics (union),78067,92220,1.0,1.0,0.0,0,spine-year,
2021-12-31,construct,ox_language_studies,Language Studies,10893,11470,0.13953399,0.124376491,0.015157499,1,spine-year,openalex
2021-12-31,construct,ox_meaning,Meaning,4329,4555,0.055452368,0.049392756,0.006059611,2,spine-year,openalex
2021-12-31,construct,ox_language_learning,Language Learning,4230,4528,0.054184226,0.049099978,0.005084248,3,spine-year,openalex
2021-12-31,construct,ox_learners,Learners,3942,4227,0.050495088,0.045836044,0.004659043,4,spine-year,openalex
2021-12-31,construct,ox_language_teaching,Language Teaching,3632,3903,0.04652414,0.042322707,0.004201433,5,spine-year,openalex
2021-12-31,construct,ox_corpus,Corpus,3419,3941,0.043795714,0.042734765,0.001060949,6,spine-year,openalex
2021-12-31,construct,ox_language_education,Language Education,2720,2779,0.034841867,0.030134461,0.004707406,7,spine-year,openalex
2021-12-31,construct,ox_grammaticalization,Grammaticalization,2445,2628,0.031319251,0.028497072,0.002822179,8,spine-year,openalex
2021-12-31,construct,ox_language_change,Language Change,2443,2645,0.031293632,0.028681414,0.002612218,9,spine-year,openalex
2021-12-31,construct,ox_grammar,Grammar,2386,2648,0.03056349,0.028713945,0.001849545,10,spine-year,openalex
2021-12-31,construct,ox_dialects,Dialects,2002,2304,0.025644639,0.024983735,0.000660904,11,spine-year,openalex
2021-12-31,construct,ox_pragmatics,Pragmatics,1970,2157,0.025234734,0.02338972,0.001845014,12,spine-year,openalex
2021-12-31,construct,ox_multilingualism,Multilingualism,1781,1835,0.022813737,0.01989807,0.002915667,13,spine-year,openalex
2021-12-31,construct,ox_dictionaries,Dictionaries,1746,2020,0.022365404,0.021904142,0.000461262,14,spine-year,openalex
2021-12-31,construct,ox_discourse_study,Discourse Study,1737,1902,0.022250118,0.020624593,0.001625525,15,spine-year,openalex
2021-12-31,construct,ox_pedagogy,Pedagogy,1690,1774,0.021648072,0.019236608,0.002411463,16,spine-year,openalex
2021-12-31,construct,ox_perception,Perception,1589,1763,0.020354311,0.019117328,0.001236983,17,spine-year,openalex
2021-12-31,construct,ox_morphology,Morphology,1545,1790,0.019790693,0.019410106,0.000380586,18,spine-year,openalex
2021-12-31,construct,ox_bilingual,Bilingual,1534,1697,0.019649788,0.018401648,0.00124814,19,spine-year,openalex
2021-12-31,construct,ox_bilingualism,Bilingualism,1534,1697,0.019649788,0.018401648,0.00124814,20,spine-year,openalex
2021-12-31,construct,ox_sociolinguistics,Sociolinguistics,1499,1632,0.019201455,0.017696812,0.001504643,21,spine-year,openalex
2021-12-31,construct,ox_discourse_analysis,Discourse Analysis,1454,1581,0.018625027,0.017143787,0.001481241,22,spine-year,openalex
2021-12-31,construct,ox_usage,Usage,1346,1431,0.0172416,0.015517241,0.001724359,23,spine-year,openalex
2021-12-31,construct,ox_second_language_learning,Second Language Learning,1233,1320,0.015794126,0.014313598,0.001480528,24,spine-year,openalex
2021-12-31,construct,ox_ideology,Ideology,1217,1315,0.015589173,0.01425938,0.001329794,25,spine-year,openalex
2021-12-31,construct,ox_terminology,Terminology,1211,1188,0.015512316,0.012882238,0.002630078,26,spine-year,openalex
2021-12-31,construct,ox_semantics,Semantics,1199,1236,0.015358602,0.013402733,0.00195587,27,spine-year,openalex
2021-12-31,construct,ox_structuralism,Structuralism,1199,1381,0.015358602,0.01497506,0.000383543,28,spine-year,openalex
2021-12-31,construct,focus_on_form,Focus on form,1158,1319,0.014833412,0.014302754,0.000530658,29,spine-year,curated
2021-12-31,construct,language_policy,Language policy,1147,1188,0.014692508,0.012882238,0.00181027,30,spine-year,curated
2021-12-31,construct,ox_teaching_methods,Teaching Methods,1140,1148,0.014602841,0.012448493,0.002154348,31,spine-year,openalex
2021-12-31,construct,ox_cultural_translation,Cultural Translation,1137,1183,0.014564413,0.01282802,0.001736393,32,spine-year,openalex
2021-12-31,construct,ox_language_acquisition,Language Acquisition,1135,1263,0.014538794,0.013695511,0.000843283,33,spine-year,openalex
2021-12-31,construct,ox_syntax,Syntax,1120,1323,0.014346651,0.014346129,5.22e-07,34,spine-year,openalex
2021-12-31,construct,ox_language_attitudes,Language Attitudes,1095,1355,0.014026413,0.014693125,-0.000666712,35,spine-year,openalex
2021-12-31,construct,ox_language_variation,Language Variation,1037,1140,0.013283462,0.012361744,0.000921718,36,spine-year,openalex
2021-12-31,construct,ox_language_contact,Language Contact,990,1226,0.012681415,0.013294296,-0.000612882,37,spine-year,openalex
2021-12-31,construct,world_englishes,World Englishes,922,1079,0.011810368,0.011700282,0.000110086,38,spine-year,curated
2021-12-31,construct,ox_power,Power,917,1062,0.01174632,0.01151594,0.00023038,39,spine-year,openalex
2021-12-31,construct,ox_literature_analysis,Literature Analysis,889,1054,0.011387654,0.011429191,-4.1537e-05,40,spine-year,openalex
2021-12-31,construct,ox_language_ideologies,Language Ideologies,853,950,0.010926512,0.010301453,0.000625059,41,spine-year,openalex
2021-12-31,construct,language_ideology,Language ideology,853,950,0.010926512,0.010301453,0.000625059,42,spine-year,curated
2021-12-31,construct,ox_conversation_analysis,Conversation Analysis,812,787,0.010401322,0.008533941,0.001867381,43,spine-year,openalex
2021-12-31,construct,ox_social_interaction,Social Interaction,804,961,0.010298846,0.010420733,-0.000121887,44,spine-year,openalex
2021-12-31,construct,ox_literary_translation,Literary Translation,799,884,0.010234798,0.009585773,0.000649025,45,spine-year,openalex
2021-12-31,construct,ox_social_communication,Social Communication,760,865,0.009735227,0.009379744,0.000355483,46,spine-year,openalex
2021-12-31,construct,ox_linguistic_identity,Linguistic Identity,741,854,0.009491847,0.009260464,0.000231383,47,spine-year,openalex
2021-12-31,construct,ox_learning_strategies,Learning Strategies,722,784,0.009248466,0.00850141,0.000747056,48,spine-year,openalex
2021-12-31,construct,ox_indexicality,Indexicality,718,861,0.009197228,0.00933637,-0.000139142,49,spine-year,openalex
2021-12-31,construct,ox_language_diversity,Language Diversity,700,749,0.008966657,0.008121882,0.000844774,50,spine-year,openalex
2021-12-31,construct,ox_foreign_language_education,Foreign Language Education,671,674,0.008595181,0.00730861,0.001286571,51,spine-year,openalex
2021-12-31,construct,ox_social_meaning,Social Meaning,657,688,0.008415848,0.007460421,0.000955427,52,spine-year,openalex
2021-12-31,construct,ox_lexicography,Lexicography,636,627,0.008146848,0.006798959,0.001347889,53,spine-year,openalex
2021-12-31,construct,ox_ethnography,Ethnography,614,681,0.007865039,0.007384515,0.000480524,54,spine-year,openalex
2021-12-31,construct,ox_semiotics,Semiotics,597,632,0.007647277,0.006853177,0.0007941,55,spine-year,openalex
2021-12-31,construct,ox_language_learning_strategies,Language Learning Strategies,594,661,0.007608849,0.007167643,0.000441206,56,spine-year,openalex
2021-12-31,construct,ox_second_language_acquisition,Second Language Acquisition,590,651,0.007557611,0.007059206,0.000498405,57,spine-year,openalex
2021-12-31,construct,heritage_language,Heritage language,569,576,0.007288611,0.006245934,0.001042677,58,spine-year,curated
2021-12-31,construct,ox_typology,typology,560,590,0.007173325,0.006397745,0.000775581,59,spine-year,openalex
2021-12-31,construct,multimodality,Multimodality,556,546,0.007122087,0.005920625,0.001201463,60,spine-year,curated
2021-12-31,construct,ox_minority_languages,Minority Languages,545,540,0.006981183,0.005855563,0.00112562,61,spine-year,openalex
2021-12-31,construct,ox_etymology,Etymology,498,505,0.006379136,0.005476036,0.0009031,62,spine-year,openalex
2021-12-31,construct,ox_text_linguistics,Text Linguistics,497,500,0.006366326,0.005421817,0.000944509,63,spine-year,openalex
2021-12-31,construct,mixed_methods,Mixed methods,460,437,0.005892374,0.004738668,0.001153706,64,spine-year,curated
2021-12-31,construct,ox_linguistic_diversity,Linguistic Diversity,457,498,0.005853946,0.00540013,0.000453816,65,spine-year,openalex
2021-12-31,construct,ox_turkic,Turkic,435,390,0.005572137,0.004229018,0.001343119,66,spine-year,openalex
2021-12-31,construct,ox_vocabulary_learning,Vocabulary Learning,435,435,0.005572137,0.004716981,0.000855156,67,spine-year,openalex
2021-12-31,construct,ox_phraseology,Phraseology,401,450,0.005136613,0.004879636,0.000256978,68,spine-year,openalex
2021-12-31,construct,ox_accent,Accent,397,422,0.005085375,0.004576014,0.000509362,69,spine-year,openalex
2021-12-31,construct,codeswitching,Code-switching,390,454,0.004995709,0.00492301,7.2699e-05,70,spine-year,curated
2021-12-31,construct,ox_semantic_changes,Semantic Changes,389,449,0.004982899,0.004868792,0.000114107,71,spine-year,openalex
2021-12-31,construct,usage_based,Usage-based approaches,387,392,0.00495728,0.004250705,0.000706575,72,spine-year,curated
2021-12-31,construct,ox_verb_morphology,Verb Morphology,387,443,0.00495728,0.00480373,0.00015355,73,spine-year,openalex
2021-12-31,construct,ox_language_anxiety,Language Anxiety,385,384,0.004931661,0.004163956,0.000767706,74,spine-year,openalex
2021-12-31,construct,translanguaging,Translanguaging,378,375,0.004841995,0.004066363,0.000775632,75,spine-year,curated
2021-12-31,construct,ox_political_discourse,Political Discourse,377,432,0.004829185,0.00468445,0.000144735,76,spine-year,openalex
2021-12-31,construct,ox_bilingual_education,Bilingual Education,374,348,0.004790757,0.003773585,0.001017172,77,spine-year,openalex
2021-12-31,construct,ox_linguistic_competence,Linguistic Competence,372,433,0.004765138,0.004695294,6.9844e-05,78,spine-year,openalex
2021-12-31,construct,ox_interdisciplinary,Interdisciplinary,371,404,0.004752328,0.004380828,0.0003715,79,spine-year,openalex
2021-12-31,construct,ox_narrative_analysis,Narrative Analysis,361,410,0.004624233,0.00444589,0.000178343,80,spine-year,openalex
2021-12-31,construct,second_language_writing,Second language writing,361,377,0.004624233,0.00408805,0.000536183,81,spine-year,curated
2021-12-31,construct,ox_historical_linguistics,Historical Linguistics,359,433,0.004598614,0.004695294,-9.668e-05,82,spine-year,openalex
2021-12-31,construct,linguistic_landscape,Linguistic landscape,355,332,0.004547376,0.003600087,0.000947289,83,spine-year,curated
2021-12-31,construct,ox_language_evolution,Language Evolution,353,392,0.004521757,0.004250705,0.000271052,84,spine-year,openalex
2021-12-31,construct,ox_language_typology,Language Typology,353,379,0.004521757,0.004109738,0.000412019,85,spine-year,openalex
2021-12-31,construct,critical_discourse_analysis,Critical discourse analysis,348,305,0.004457709,0.003307309,0.001150401,86,spine-year,curated
2021-12-31,construct,ox_intercultural_communication,Intercultural Communication,346,343,0.00443209,0.003719367,0.000712724,87,spine-year,openalex
2021-12-31,construct,ox_textual_analysis,Textual Analysis,331,337,0.004239948,0.003654305,0.000585643,88,spine-year,openalex
2021-12-31,construct,ox_subtitling,Subtitling,326,392,0.0041759,0.004250705,-7.4805e-05,89,spine-year,openalex
2021-12-31,construct,corpus_linguistics,Corpus linguistics,314,375,0.004022186,0.004066363,-4.4177e-05,90,spine-year,curated
2021-12-31,construct,ox_construction_grammar,Construction Grammar,309,380,0.003958139,0.004120581,-0.000162443,91,spine-year,openalex
2021-12-31,construct,ox_humanities,Humanities,300,356,0.003842853,0.003860334,-1.7481e-05,92,spine-year,openalex
2021-12-31,construct,ox_literary_theory,Literary Theory,297,332,0.003804424,0.003600087,0.000204338,93,spine-year,openalex
2021-12-31,construct,ox_identity_construction,Identity Construction,288,310,0.003689139,0.003361527,0.000327612,94,spine-year,openalex
2021-12-31,construct,ox_media_discourse,Media Discourse,283,327,0.003625091,0.003545869,7.9223e-05,95,spine-year,openalex
2021-12-31,construct,ox_lexical_influence,Lexical Influence,282,297,0.003612282,0.00322056,0.000391722,96,spine-year,openalex
2021-12-31,construct,ox_sociolinguistic_variation,Sociolinguistic Variation,279,319,0.003573853,0.003459119,0.000114734,97,spine-year,openalex
2021-12-31,construct,ox_german_as_a_foreign_language,German as a Foreign Language,272,308,0.003484187,0.00333984,0.000144347,98,spine-year,openalex
2021-12-31,construct,task_based,Task-based language teaching,268,266,0.003432949,0.002884407,0.000548542,99,spine-year,curated
2021-12-31,construct,ox_philology,Philology,264,245,0.003381711,0.002656691,0.00072502,100,spine-year,openalex
2021-12-31,construct,ox_cognitive_linguistics,Cognitive Linguistics,258,256,0.003304854,0.002775971,0.000528883,101,spine-year,openalex
2021-12-31,construct,teacher_identity,Language teacher identity,255,279,0.003266425,0.003025374,0.000241051,102,spine-year,curated
2021-12-31,construct,ox_indo_european,Indo-European,254,291,0.003253615,0.003155498,9.8118e-05,103,spine-year,openalex
2021-12-31,construct,ox_lexical_semantics,Lexical Semantics,249,259,0.003189568,0.002808501,0.000381067,104,spine-year,openalex
2021-12-31,construct,study_abroad,Study abroad,241,252,0.003087092,0.002732596,0.000354496,105,spine-year,curated
2021-12-31,construct,ox_lingua_franca_english,Lingua Franca English,236,311,0.003023044,0.00337237,-0.000349326,106,spine-year,openalex
2021-12-31,construct,ox_neologisms,Neologisms,236,257,0.003023044,0.002786814,0.00023623,107,spine-year,openalex
2021-12-31,construct,ox_standardization_of_language,Standardization of Language,232,249,0.002971806,0.002700065,0.000271741,108,spine-year,openalex
2021-12-31,construct,corrective_feedback,Corrective feedback,230,196,0.002946187,0.002125352,0.000820835,109,spine-year,curated
2021-12-31,construct,positioning_theory,Positioning theory,224,253,0.00286933,0.00274344,0.000125891,110,spine-year,curated
2021-12-31,construct,ox_interactional_linguistics,Interactional Linguistics,223,234,0.002856521,0.002537411,0.00031911,111,spine-year,openalex
2021-12-31,construct,ox_audiovisual_translation,Audiovisual Translation,218,242,0.002792473,0.00262416,0.000168314,112,spine-year,openalex
2021-12-31,construct,learner_identity,Learner identity,214,230,0.002741235,0.002494036,0.000247199,113,spine-year,curated
2021-12-31,construct,ox_semantic_relations,Semantic Relations,210,236,0.002689997,0.002559098,0.000130899,114,spine-year,openalex
2021-12-31,construct,ox_politeness_strategies,Politeness Strategies,197,190,0.002523473,0.002060291,0.000463183,115,spine-year,openalex
2021-12-31,construct,ox_linguistic_borrowing,Linguistic Borrowing,196,229,0.002510664,0.002483192,2.7472e-05,116,spine-year,openalex
2021-12-31,construct,ox_literary_tradition,Literary Tradition,191,210,0.002446616,0.002277163,0.000169453,117,spine-year,openalex
