snapshot_date,dimension_type,dimension_id,dimension_label,count_recent,count_prior,share_recent,share_prior,yoy_share_change,rank_recent,taxonomy_version,data_version
2023-06-01,field_total,ALL,All linguistics (union),71089,68338,1.0,1.0,0.0,0,3fb46f2158,default
2023-06-01,topic,T10759,Translation Studies and Practices,6207,5676,0.08731309,0.08305774,0.00425534,1,3fb46f2158,default
2023-06-01,topic,T10021,EFL/ESL Teaching and Learning,5650,5659,0.07947784,0.08280898,-0.00333114,2,3fb46f2158,default
2023-06-01,topic,T12373,Linguistic research and analysis,4906,4486,0.06901208,0.0656443,0.00336779,3,3fb46f2158,default
2023-06-01,topic,T12768,Linguistics and language evolution,4414,4378,0.06209118,0.06406392,-0.00197274,4,3fb46f2158,default
2023-06-01,topic,T13122,Linguistics and Cultural Studies,4376,4026,0.06155664,0.05891305,0.00264359,5,3fb46f2158,default
2023-06-01,topic,T10265,Multilingual Education and Policy,4198,4111,0.05905274,0.06015687,-0.00110413,6,3fb46f2158,default
2023-06-01,topic,T13538,Linguistics and Language Analysis,4137,3632,0.05819466,0.05314759,0.00504707,7,3fb46f2158,default
2023-06-01,topic,T14006,"Linguistics, Language Diversity, and Identity",3581,3492,0.05037348,0.05109895,-0.00072547,8,3fb46f2158,default
2023-06-01,topic,T14081,Linguistic Education and Pedagogy,3320,2663,0.04670202,0.03896807,0.00773395,9,3fb46f2158,default
2023-06-01,topic,T10034,"Syntax, Semantics, Linguistic Variation",2718,2720,0.03823376,0.03980216,-0.0015684,10,3fb46f2158,default
2023-06-01,topic,T12658,Language and Culture,2717,2690,0.0382197,0.03936317,-0.00114347,11,3fb46f2158,default
2023-06-01,topic,T12341,Spanish Linguistics and Language Studies,2697,2728,0.03793836,0.03991923,-0.00198087,12,3fb46f2158,default
2023-06-01,topic,T10383,"Language, Discourse, Communication Strategies",2640,2708,0.03713655,0.03962656,-0.00249001,13,3fb46f2158,default
2023-06-01,topic,T12881,linguistics and terminology studies,2638,1563,0.03710841,0.02287161,0.0142368,14,3fb46f2158,default
2023-06-01,topic,T12353,Lexicography and Language Studies,2242,2306,0.03153793,0.03374404,-0.00220611,15,3fb46f2158,default
2023-06-01,topic,T13912,"Language, Linguistics, Cultural Analysis",2190,2065,0.03080645,0.03021745,0.00058901,16,3fb46f2158,default
2023-06-01,topic,T13156,Historical Linguistics and Language Studies,2164,2195,0.03044072,0.03211976,-0.00167904,17,3fb46f2158,default
2023-06-01,topic,T11640,Linguistic Variation and Morphology,2073,2041,0.02916063,0.02986625,-0.00070562,18,3fb46f2158,default
2023-06-01,topic,T13152,French Language Learning Methods,1906,2189,0.02681146,0.03203196,-0.0052205,19,3fb46f2158,default
2023-06-01,topic,T14021,Medieval European Literature and History,1862,2407,0.02619252,0.03522198,-0.00902947,20,3fb46f2158,default
2023-06-01,topic,T13260,Linguistics and Language Studies,1383,1483,0.01945449,0.02170096,-0.00224647,21,3fb46f2158,default
2023-06-01,topic,T13310,Subtitles and Audiovisual Media,1246,1140,0.01752732,0.01668179,0.00084554,22,3fb46f2158,default
2023-06-01,topic,T13727,Linguistic and Sociocultural Studies,916,953,0.01288526,0.01394539,-0.00106013,23,3fb46f2158,default
2023-06-01,topic,T13814,Cultural and political discourse analysis,669,791,0.00941074,0.01157482,-0.00216408,24,3fb46f2158,default
2023-06-01,topic,T14170,Classical Studies and Philology,188,195,0.00264457,0.00285346,-0.00020889,25,3fb46f2158,default
2023-06-01,topic,T13606,Umberto Eco and Semiotics,51,41,0.00071741,0.00059996,0.00011745,26,3fb46f2158,default
